epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1288.13,0.58751,3.54612,1.41565,0.35698,1.13106,1,1,0.995,0.975,1,1,0.995,0.9321,0.33954,3.25405,0.40631,0.26355,1.02666,0.001076,0.001076,0.001076
72,1303.86,0.6049,3.5521,1.4718,0.35644,1.16249,1,1,0.995,0.98469,1,1,0.995,0.95715,0.34066,3.28257,0.47683,0.26506,1.02035,0.0010628,0.0010628,0.0010628
73,1321.61,0.56091,3.33473,1.35376,0.34945,1.0945,1,1,0.995,0.98968,1,1,0.995,0.96818,0.30988,2.64668,0.41895,0.24005,0.97955,0.0010496,0.0010496,0.0010496
74,1341.97,0.60675,3.35394,1.76131,0.34596,1.1956,1,1,0.995,0.975,1,1,0.995,0.96238,0.37298,2.86096,0.4323,0.25332,1.0742,0.0010364,0.0010364,0.0010364
75,1362.21,0.61458,3.331,1.76076,0.36054,1.17495,1,1,0.995,0.9905,1,1,0.995,0.92061,0.33822,3.46621,0.56753,0.27128,1.06323,0.0010232,0.0010232,0.0010232
76,1382.34,0.59132,3.20262,1.39948,0.34617,1.15317,1,1,0.995,0.98469,1,1,0.995,0.933,0.34586,2.94333,0.55518,0.23809,1.03688,0.00101,0.00101,0.00101
77,1402.67,0.59076,3.20336,1.48306,0.34399,1.15324,1,1,0.995,0.97002,1,1,0.995,0.96934,0.34886,2.82688,0.44808,0.23847,1.04094,0.0009968,0.0009968,0.0009968
78,1422.93,0.56074,3.24693,1.49985,0.33474,1.13438,1,1,0.995,0.98469,1,1,0.995,0.95754,0.31652,3.07293,0.40304,0.22679,1.01347,0.0009836,0.0009836,0.0009836
79,1443.07,0.56549,3.31213,1.49614,0.35614,1.13433,1,1,0.995,0.995,1,1,0.995,0.9829,0.29472,2.59103,0.42365,0.24237,0.98627,0.0009704,0.0009704,0.0009704
80,1463.37,0.56439,3.12249,1.36468,0.33843,1.1419,0.99535,1,0.995,0.98405,0.99535,1,0.995,0.97094,0.30233,2.5267,0.43473,0.24238,1.00273,0.0009572,0.0009572,0.0009572
81,1483.53,0.56746,2.84836,1.42335,0.33998,1.13897,0.99536,1,0.995,0.995,0.99536,1,0.995,0.96721,0.31229,2.22746,0.48403,0.2372,0.99092,0.000944,0.000944,0.000944
82,1503.97,0.58088,2.89152,1.53783,0.34599,1.17663,0.99541,1,0.995,0.95557,0.99541,1,0.995,0.96721,0.32042,2.51301,0.47361,0.25313,1.00519,0.0009308,0.0009308,0.0009308
83,1524.24,0.56106,2.80581,1.42092,0.33184,1.11864,1,1,0.995,0.96358,1,1,0.995,0.98379,0.31229,2.0319,0.46755,0.24861,1.00417,0.0009176,0.0009176,0.0009176
84,1544.41,0.59628,2.81005,1.50473,0.34769,1.17039,1,1,0.995,0.98227,1,1,0.995,0.982,0.33646,2.36826,0.453,0.23889,0.99892,0.0009044,0.0009044,0.0009044
85,1564.84,0.58479,2.8143,1.56486,0.34677,1.1701,1,1,0.995,0.97654,1,1,0.995,0.96818,0.30258,2.33721,0.40664,0.22312,0.97939,0.0008912,0.0008912,0.0008912
86,1585.22,0.56422,2.77283,1.41218,0.33709,1.12173,1,1,0.995,0.96548,1,1,0.995,0.98227,0.36345,2.09807,0.43052,0.24449,1.03423,0.000878,0.000878,0.000878
87,1605.7,0.54953,2.76911,1.37737,0.3275,1.10883,0.99531,1,0.995,0.99013,0.99531,1,0.995,0.9819,0.31425,2.01943,0.40986,0.23135,0.99135,0.0008648,0.0008648,0.0008648
88,1626.04,0.54422,2.37697,1.35784,0.31862,1.11876,1,1,0.995,0.97108,1,1,0.995,0.995,0.31805,1.82964,0.44422,0.22504,0.99365,0.0008516,0.0008516,0.0008516
89,1646.38,0.5444,2.55493,1.47554,0.32556,1.12081,0.99526,1,0.995,0.94939,0.99526,1,0.995,0.98276,0.34649,1.75545,0.4569,0.2201,1.01942,0.0008384,0.0008384,0.0008384
90,1666.78,0.58544,2.35957,1.48315,0.34361,1.16016,1,1,0.995,0.97929,1,1,0.995,0.96988,0.29311,2.05886,0.4244,0.24151,0.98962,0.0008252,0.0008252,0.0008252
91,1687.02,0.58957,2.31752,1.47498,0.34217,1.12244,1,1,0.995,0.995,1,1,0.995,0.995,0.28246,1.66946,0.38283,0.24117,0.96188,0.000812,0.000812,0.000812
92,1707.32,0.5905,2.23266,1.6398,0.33548,1.14895,1,1,0.995,0.98006,1,1,0.995,0.995,0.3275,2.13952,0.53991,0.2524,1.01269,0.0007988,0.0007988,0.0007988
93,1727.49,0.54151,2.63209,1.26778,0.33277,1.13716,0.99535,1,0.995,0.91915,0.99535,1,0.995,0.94507,0.39703,2.33856,0.43012,0.23736,1.09891,0.0007856,0.0007856,0.0007856
94,1747.88,0.57475,2.45147,1.4274,0.34949,1.09636,0.99535,1,0.995,0.98408,0.99535,1,0.995,0.98326,0.31515,2.04847,0.48517,0.23519,0.99129,0.0007724,0.0007724,0.0007724
95,1768.39,0.57559,2.39063,1.42417,0.33147,1.12388,1,1,0.995,0.995,1,1,0.995,0.995,0.26496,1.72048,0.3857,0.21798,0.96826,0.0007592,0.0007592,0.0007592
96,1788.8,0.55675,2.25376,1.54132,0.33323,1.14513,1,1,0.995,0.96548,1,1,0.995,0.995,0.31381,1.49321,0.33782,0.24094,0.97631,0.000746,0.000746,0.000746
97,1809.08,0.58785,2.25963,1.60719,0.34603,1.13824,1,1,0.995,0.98886,1,1,0.995,0.995,0.29705,1.5035,0.45342,0.22967,0.96881,0.0007328,0.0007328,0.0007328
98,1829.51,0.54661,2.32987,1.33196,0.32682,1.07736,1,1,0.995,0.9905,1,1,0.995,0.995,0.2987,1.45572,0.54144,0.21624,0.98944,0.0007196,0.0007196,0.0007196
99,1849.82,0.57383,2.07122,1.59025,0.33645,1.09571,1,1,0.995,0.995,1,1,0.995,0.995,0.29013,1.31979,0.46023,0.22305,0.9836,0.0007064,0.0007064,0.0007064
100,1870.32,0.56783,2.22295,1.5533,0.32988,1.12825,1,1,0.995,0.995,1,1,0.995,0.995,0.28917,1.63288,0.42467,0.22404,0.97732,0.0006932,0.0006932,0.0006932
101,1890.95,0.56713,2.15743,1.55232,0.32825,1.104,0.99519,1,0.995,0.93958,0.99519,1,0.995,0.995,0.32662,1.43453,0.40689,0.22001,0.9983,0.00068,0.00068,0.00068
102,1911.24,0.60268,2.2728,1.57425,0.34347,1.16364,0.99524,1,0.995,0.98405,0.99524,1,0.995,0.995,0.29022,1.53472,0.47692,0.21663,0.98546,0.0006668,0.0006668,0.0006668
103,1931.6,0.58822,2.36508,1.51296,0.33711,1.13051,1,1,0.995,0.97108,1,1,0.995,0.98314,0.28916,1.60146,0.55133,0.23991,0.9959,0.0006536,0.0006536,0.0006536
104,1952.03,0.5517,2.26574,1.18833,0.32263,1.08496,1,1,0.995,0.93063,1,1,0.995,0.995,0.33981,1.41543,0.48022,0.23868,1.01543,0.0006404,0.0006404,0.0006404
105,1972.47,0.5587,2.21214,1.46873,0.32087,1.12627,1,1,0.995,0.9905,1,1,0.995,0.995,0.30599,1.28288,0.61682,0.22346,1.00341,0.0006272,0.0006272,0.0006272
106,1993.01,0.54334,2.16238,1.44412,0.32079,1.11138,1,1,0.995,0.982,1,1,0.995,0.9905,0.29992,1.77647,0.40154,0.2245,0.971,0.000614,0.000614,0.000614
107,2013.39,0.6044,2.19408,1.57495,0.34214,1.11964,1,1,0.995,0.97608,1,1,0.995,0.995,0.3303,1.26882,0.44831,0.22983,0.99638,0.0006008,0.0006008,0.0006008
108,2033.83,0.50978,1.86622,1.26209,0.30725,1.07304,1,1,0.995,0.9829,1,1,0.995,0.995,0.30147,1.20982,0.55177,0.21342,0.97301,0.0005876,0.0005876,0.0005876
109,2054.35,0.54803,1.90222,1.40501,0.31698,1.09272,1,1,0.995,0.98379,1,1,0.995,0.995,0.27466,1.32374,0.64176,0.20537,0.96543,0.0005744,0.0005744,0.0005744
110,2074.82,0.50219,1.90076,1.27171,0.29902,1.10709,1,1,0.995,0.9905,1,1,0.995,0.995,0.26828,1.2612,0.58295,0.2386,0.96551,0.0005612,0.0005612,0.0005612
111,2092.42,0.5687,1.86322,1.55004,0.33612,1.15461,0.99523,1,0.995,0.995,0.99523,1,0.995,0.995,0.28096,1.09615,0.45471,0.21659,0.97515,0.000548,0.000548,0.000548
112,2110.38,0.52801,1.81353,1.28322,0.31264,1.13134,0.99531,1,0.995,0.995,0.99531,1,0.995,0.995,0.29866,1.26324,0.43738,0.21744,0.9947,0.0005348,0.0005348,0.0005348
113,2127.54,0.52742,1.82244,1.42396,0.31209,1.07881,0.99553,1,0.995,0.99013,0.99553,1,0.995,0.995,0.24797,1.04578,0.41886,0.21014,0.93409,0.0005216,0.0005216,0.0005216
114,2145.2,0.53429,1.72872,1.53214,0.31609,1.09687,1,1,0.995,0.9905,1,1,0.995,0.995,0.28993,1.28656,0.53716,0.2154,0.97312,0.0005084,0.0005084,0.0005084
115,2164.85,0.50823,1.70692,1.42128,0.3013,1.10274,1,1,0.995,0.98968,1,1,0.995,0.995,0.29608,1.15018,0.57585,0.21491,0.97993,0.0004952,0.0004952,0.0004952
116,2181.56,0.4994,1.67078,1.32413,0.29703,1.06927,1,1,0.995,0.97708,1,1,0.995,0.995,0.28068,1.02091,0.53466,0.22465,0.96904,0.000482,0.000482,0.000482
117,2200.13,0.51774,1.71913,1.44792,0.3071,1.09108,1,1,0.995,0.97808,1,1,0.995,0.995,0.2525,1.14015,0.49999,0.20597,0.96008,0.0004688,0.0004688,0.0004688
118,2220.03,0.51911,1.61137,1.47395,0.30872,1.08995,1,1,0.995,0.98968,1,1,0.995,0.995,0.25131,1.15138,0.48194,0.21107,0.94377,0.0004556,0.0004556,0.0004556
119,2237.46,0.53768,1.68778,1.58018,0.31413,1.10659,1,1,0.995,0.9905,1,1,0.995,0.995,0.29812,1.03639,0.46758,0.21873,0.958,0.0004424,0.0004424,0.0004424
120,2253.8,0.53299,1.57183,1.4994,0.3171,1.0924,1,1,0.995,0.9905,1,1,0.995,0.995,0.28582,1.08542,0.55358,0.20077,0.95675,0.0004292,0.0004292,0.0004292
121,2279.74,0.54805,1.66557,1.33654,0.32268,1.08305,1,1,0.995,0.9775,1,1,0.995,0.995,0.27987,1.23039,0.48706,0.21243,0.94765,0.000416,0.000416,0.000416
122,2299.38,0.46844,1.49767,1.10764,0.28374,1.02345,1,1,0.995,0.9905,1,1,0.995,0.995,0.28737,1.09839,0.55231,0.24657,0.95749,0.0004028,0.0004028,0.0004028
123,2318.27,0.58572,1.54126,1.7198,0.34099,1.17372,1,1,0.995,0.96548,1,1,0.995,0.995,0.34802,0.88924,0.55502,0.23558,1.00342,0.0003896,0.0003896,0.0003896
124,2337.07,0.56255,1.4705,1.47126,0.32258,1.11983,1,1,0.995,0.9905,1,1,0.995,0.995,0.25957,0.84085,0.53726,0.20238,0.94017,0.0003764,0.0003764,0.0003764
125,2352.82,0.49782,1.43684,1.21147,0.2978,1.03049,1,1,0.995,0.98314,1,1,0.995,0.995,0.30036,0.83072,0.44427,0.23509,0.95958,0.0003632,0.0003632,0.0003632
126,2370.03,0.57698,1.49512,1.59372,0.33536,1.1275,1,1,0.995,0.995,1,1,0.995,0.995,0.25618,1.03665,0.43023,0.20289,0.95918,0.00035,0.00035,0.00035
127,2387.76,0.50248,1.43511,1.54602,0.30635,1.07396,1,1,0.995,0.9905,1,1,0.995,0.995,0.27536,1.04709,0.44904,0.23251,0.9673,0.0003368,0.0003368,0.0003368
128,2406.48,0.49445,1.45572,1.47938,0.30148,1.05775,1,1,0.995,0.995,1,1,0.995,0.995,0.26063,0.89864,0.52337,0.20915,0.94195,0.0003236,0.0003236,0.0003236
129,2424.04,0.51903,1.43949,1.44473,0.30957,1.06356,1,1,0.995,0.995,1,1,0.995,0.995,0.27149,1.02777,0.49385,0.21839,0.94419,0.0003104,0.0003104,0.0003104
