epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,57058.1,0.30594,0.92552,0.4432,0.21519,0.81727,1,1,0.995,0.995,1,1,0.995,0.995,0.17774,0.96979,0.26559,0.15743,0.82177,0.0004984,0.0004984,0.0004984
78,57746,0.31308,0.97519,0.46063,0.21226,0.8027,0.99805,1,0.995,0.988,0.99805,1,0.995,0.995,0.2235,0.7312,0.43919,0.18347,0.88239,0.0004918,0.0004918,0.0004918
79,58533,0.30962,0.99102,0.40596,0.20531,0.8003,1,1,0.995,0.995,1,1,0.995,0.995,0.22239,0.82052,0.45649,0.17812,0.85965,0.0004852,0.0004852,0.0004852
80,59217.2,0.3096,0.89406,0.38719,0.20959,0.80528,1,1,0.995,0.995,1,1,0.995,0.99326,0.20892,0.86028,0.38225,0.17576,0.84532,0.0004786,0.0004786,0.0004786
81,59991.9,0.30742,0.90537,0.40046,0.20875,0.79889,0.99786,1,0.995,0.995,0.99786,1,0.995,0.995,0.18832,0.87545,0.24008,0.16838,0.82289,0.000472,0.000472,0.000472
82,60696.4,0.30469,0.87137,0.38727,0.20432,0.79349,0.99803,1,0.995,0.995,0.99803,1,0.995,0.995,0.20098,0.78064,0.34555,0.18972,0.85034,0.0004654,0.0004654,0.0004654
83,61488.9,0.30019,0.89379,0.34621,0.20282,0.79387,0.99808,1,0.995,0.9925,0.99808,1,0.995,0.9929,0.2265,1.1093,0.45805,0.17185,0.86114,0.0004588,0.0004588,0.0004588
84,62191.5,0.30665,0.95462,0.40713,0.20292,0.78446,1,1,0.995,0.99108,1,1,0.995,0.995,0.23553,0.8699,0.53446,0.17588,0.903,0.0004522,0.0004522,0.0004522
85,62970.4,0.28869,0.93868,0.42571,0.20128,0.79687,0.99808,1,0.995,0.995,0.99808,1,0.995,0.995,0.19886,0.75021,0.30246,0.15327,0.84096,0.0004456,0.0004456,0.0004456
86,63672.7,0.30328,0.91011,0.38314,0.20444,0.79686,1,1,0.995,0.98833,1,1,0.995,0.995,0.23898,0.75499,0.43988,0.15161,0.92037,0.000439,0.000439,0.000439
87,64450.6,0.30286,0.89235,0.39873,0.20356,0.77919,1,1,0.995,0.99081,1,1,0.995,0.99326,0.22302,0.75533,0.50454,0.15777,0.90975,0.0004324,0.0004324,0.0004324
88,65142.3,0.29562,0.84616,0.36457,0.19627,0.79036,0.99808,1,0.995,0.99046,0.99808,1,0.995,0.993,0.19262,0.76039,0.3656,0.16518,0.83191,0.0004258,0.0004258,0.0004258
89,65915,0.28102,0.85307,0.34033,0.19563,0.79641,0.9981,1,0.995,0.995,0.9981,1,0.995,0.99174,0.2022,0.86137,0.31969,0.16889,0.83767,0.0004192,0.0004192,0.0004192
90,66627.4,0.31584,0.90499,0.34649,0.20416,0.78762,0.99809,1,0.995,0.98601,0.99809,1,0.995,0.995,0.27284,0.86768,0.8156,0.17993,0.96377,0.0004126,0.0004126,0.0004126
91,67423.4,0.28623,0.78755,0.33999,0.19517,0.79129,0.99812,1,0.995,0.98995,0.99812,1,0.995,0.99213,0.23822,0.74026,0.64738,0.16796,0.90276,0.000406,0.000406,0.000406
92,68134.2,0.29358,0.77727,0.33005,0.20024,0.78746,1,1,0.995,0.99341,1,1,0.995,0.99245,0.2178,0.70049,0.37162,0.1708,0.86098,0.0003994,0.0003994,0.0003994
93,68932,0.29967,0.81264,0.29111,0.19982,0.76652,1,1,0.995,0.995,1,1,0.995,0.995,0.21429,0.67592,0.4067,0.161,0.87287,0.0003928,0.0003928,0.0003928
